"prov","type","signif_week"
"National Capital Region","Pneumonia","2017-35"
"National Capital Region","Pneumonia","2017-36"
"National Capital Region","Pneumonia","2017-37"
"National Capital Region","Pneumonia","2017-38"
"National Capital Region","Pneumonia","2017-39"
"National Capital Region","Pneumonia","2017-40"
"National Capital Region","Pneumonia","2017-41"
"Agusan del Sur","Pneumonia","2016-19"
"Agusan del Sur","Pneumonia","2016-20"
"Agusan del Sur","Pneumonia","2016-21"
"Agusan del Sur","Pneumonia","2016-22"
"Agusan del Sur","Pneumonia","2016-23"
"Agusan del Sur","Pneumonia","2016-24"
"Agusan del Sur","Pneumonia","2016-25"
"Agusan del Sur","Pneumonia","2016-26"
"Agusan del Sur","Pneumonia","2016-27"
"Agusan del Sur","Pneumonia","2016-28"
"Agusan del Sur","Pneumonia","2016-29"
"Agusan del Sur","Pneumonia","2016-30"
"Agusan del Sur","Pneumonia","2016-31"
"Agusan del Sur","Pneumonia","2016-32"
"Agusan del Sur","Pneumonia","2016-33"
"Agusan del Sur","Pneumonia","2016-34"
"Agusan del Sur","Pneumonia","2016-35"
"Agusan del Sur","Pneumonia","2016-36"
"Agusan del Sur","Pneumonia","2016-37"
"Agusan del Sur","Pneumonia","2016-38"
"Agusan del Sur","Pneumonia","2016-39"
"Agusan del Sur","Pneumonia","2016-40"
"Agusan del Sur","Pneumonia","2016-41"
"Agusan del Sur","Pneumonia","2016-42"
"Agusan del Sur","Pneumonia","2016-43"
"Agusan del Sur","Pneumonia","2016-44"
"Agusan del Sur","Pneumonia","2016-45"
"Agusan del Sur","Pneumonia","2016-46"
"Agusan del Sur","Pneumonia","2016-47"
"Agusan del Sur","Pneumonia","2016-48"
"Agusan del Sur","Pneumonia","2016-49"
"Surigao del Sur","Pneumonia","2016-33"
"Nueva Ecija","Sepsis","2016-37"
"Nueva Ecija","Sepsis","2019-04"
"Nueva Ecija","Sepsis","2019-05"
"Nueva Ecija","Sepsis","2019-06"
"Nueva Ecija","Sepsis","2019-07"
"Nueva Ecija","Sepsis","2019-08"
"Nueva Ecija","Sepsis","2019-09"
"Nueva Ecija","Sepsis","2019-10"
"Nueva Ecija","Sepsis","2019-11"
"Nueva Ecija","Sepsis","2019-12"
"Nueva Ecija","Sepsis","2019-13"
"Nueva Ecija","Sepsis","2019-14"
"Nueva Ecija","Sepsis","2019-15"
"Nueva Ecija","Sepsis","2019-16"
"Nueva Ecija","Sepsis","2019-17"
"Nueva Ecija","Sepsis","2019-18"
"Nueva Ecija","Sepsis","2019-19"
"Pampanga","Sepsis","2016-31"
"Pampanga","Sepsis","2016-32"
"Pampanga","Sepsis","2016-33"
"Pampanga","Sepsis","2016-34"
"Pampanga","Sepsis","2016-35"
"Pampanga","Sepsis","2016-36"
"Pampanga","Sepsis","2016-37"
"Pampanga","Sepsis","2016-38"
"Pampanga","Sepsis","2016-39"
"Pampanga","Sepsis","2016-40"
"Pampanga","Sepsis","2016-41"
"Pampanga","Sepsis","2016-42"
"Pampanga","Sepsis","2016-43"
"Pampanga","Sepsis","2016-44"
"Pampanga","Sepsis","2016-45"
"Pampanga","Sepsis","2016-46"
"Pampanga","Sepsis","2016-47"
"Pampanga","Sepsis","2016-48"
"Pampanga","Sepsis","2016-49"
"Pampanga","Sepsis","2016-50"
"Pampanga","Sepsis","2016-51"
"Pampanga","Sepsis","2016-52"
"Pampanga","Sepsis","2017-01"
"Pampanga","Sepsis","2017-02"
"Pampanga","Sepsis","2017-03"
"Pampanga","Sepsis","2017-04"
"Pampanga","Sepsis","2017-05"
"Pampanga","Sepsis","2017-06"
"Pampanga","Sepsis","2017-07"
"Pampanga","Sepsis","2017-08"
"Pampanga","Sepsis","2017-09"
"Pampanga","Sepsis","2017-10"
"Laguna","Sepsis","2017-02"
"Laguna","Sepsis","2017-03"
"Laguna","Sepsis","2017-04"
"Laguna","Sepsis","2018-31"
"Laguna","Sepsis","2018-32"
"Laguna","Sepsis","2018-33"
"Laguna","Sepsis","2018-34"
"Laguna","Sepsis","2018-35"
"Laguna","Sepsis","2018-36"
